V1,V2,V3
-159.664603713316,-8,-5168
-159.597923737273,-8,-5261
-159.53124376123,-8,-5249
-159.464563785187,-8,-5229
-159.397883809144,-8,-5281
-159.3312038331,-8,-5513
-159.264523857057,-8,-5570
-159.197843881014,-8,-5595
-159.131163904971,-8,-5468
-159.064483928928,-8,-5502
-158.997803952885,-8,-5649
-158.931123976842,-8,-5558
-158.864444000799,-8,-5441
-158.797764024755,-8,-5708
-158.731084048712,-8,-5922
-158.664404072669,-8,-5709
-158.597724096626,-8,-5596
-158.531044120583,-8,-5674
-158.46436414454,-8,-5698
-158.397684168497,-8,-5673
-158.331004192454,-8,-5656
-158.26432421641,-8,-5569
-158.197644240367,-8,-5575
-158.130964264324,-8,-5599
-158.064284288281,-8,-5431
-157.997604312238,-8,-5346
-157.930924336195,-8,-5453
-157.864244360152,-8,-5461
-157.797564384109,-8,-5455
-157.730884408065,-8,-5476
-157.664204432022,-8,-5444
-157.597524455979,-8,-5376
-157.530844479936,-8,-5462
-157.464164503893,-8,-5493
-157.39748452785,-8,-5406
-157.330804551807,-8,-5482
-157.264124575764,-8,-5541
-157.197444599721,-8,-5467
-157.130764623677,-8,-5414
-157.064084647634,-8,-5449
-156.997404671591,-8,-5464
-156.930724695548,-8,-5448
-156.864044719505,-8,-5427
-156.797364743462,-8,-5369
-156.730684767419,-8,-5386
-156.664004791376,-8,-5375
-156.597324815332,-8,-5345
-156.530644839289,-8,-5330
-156.463964863246,-8,-5260
-156.397284887203,-8,-5224
-156.33060491116,-8,-5292
-156.263924935117,-8,-5432
-156.197244959074,-8,-5499
-156.130564983031,-8,-5508
-156.063885006987,-8,-5527
-155.997205030944,-8,-5562
-155.930525054901,-8,-5562
-155.863845078858,-8,-5415
-155.797165102815,-8,-5312
-155.730485126772,-8,-5305
-155.663805150729,-8,-5241
-155.597125174686,-8,-5302
-155.530445198642,-8,-5442
-155.463765222599,-8,-5398
-155.397085246556,-8,-5318
-155.330405270513,-8,-5254
-155.26372529447,-8,-4956
-155.197045318427,-8,-4442
-155.130365342384,-8,-3459
-155.063685366341,-8,-2862
-154.997005390297,-8,-3968
-154.930325414254,-8,-4550
-154.863645438211,-8,-4967
-154.796965462168,-8,-5060
-154.730285486125,-8,-5106
-154.663605510082,-8,-5261
-154.596925534039,-8,-5304
-154.530245557996,-8,-5158
-154.463565581952,-8,-5067
-154.396885605909,-8,-5223
-154.330205629866,-8,-5217
-154.263525653823,-8,-5157
-154.19684567778,-8,-5236
-154.130165701737,-8,-5086
-154.063485725694,-8,-4992
-153.996805749651,-8,-4998
-153.930125773608,-8,-4995
-153.863445797564,-8,-5084
-153.796765821521,-8,-5230
-153.730085845478,-8,-5321
-153.663405869435,-8,-5204
-153.596725893392,-8,-5033
-153.530045917349,-8,-4963
-153.463365941306,-8,-4986
-153.396685965263,-8,-5079
-153.330005989219,-8,-5104
-153.263326013176,-8,-5096
-153.196646037133,-8,-5104
-153.12996606109,-8,-5133
-153.063286085047,-8,-5106
-152.996606109004,-8,-5011
-152.929926132961,-8,-4878
-152.863246156918,-8,-4758
-152.796566180874,-8,-4839
-152.729886204831,-8,-4938
-152.663206228788,-8,-4973
-152.596526252745,-8,-5106
-152.529846276702,-8,-5224
-152.463166300659,-8,-5114
-152.396486324616,-8,-4999
-152.329806348573,-8,-4862
-152.263126372529,-8,-4794
-152.196446396486,-8,-4950
-152.129766420443,-8,-4953
-152.0630864444,-8,-4812
-151.996406468357,-8,-4733
